country,popul,density,urban,popgrowt,brate,infmort,abrate,drate,humandev,calories,doctors,rich10,unemploy,energy,workag,workind,workoth,cars,greenhs,phones,literacy,tvs,news,univers,go5th,fempower,singmom,turnout,multcult,democrac,polint,relgous,homicide,racism,antigay,trust,exmar,gaysex,suicide,suicok,aids,happy,famimp,kidobey
"DENMARK",5334,326,85,.35,11.85,4.8,400,10.41,.928,3548,2830,24,8.2,480.99,5.1099852,25.22999,69.659921,319.83,12.24,3203,,5359.2,3650,32.77,97,.739,67,81.7,4,7,54,73,4.71,7,12,58,66,36,26.6,56,3,43,88,20
"DJIBOUTI",441,52,82,1.51,42.16,104.6,,14.98,.324,,200,,45,41.81,,,,,.81,8,462,605.33,,,34,,,26.3,79,2,,,,,,,,,,,60.8,,,
"DOMINICAN REPUBLIC",7999,428,62,1.68,22.91,46,,5.59,.72,,770,41.7,30,72.62,,,,,.84,569,821,928.03,340,,58,.424,,62.1,60,4,,,,,,,,,1.7,,4.6,,,
"ECUADOR",12337,115,59,1.93,24.04,33.4,,5.28,.767,2114,1110,51.5,8.5,76.83,7.0099951,22.359995,70.629889,21.84,1.65,748,901,869.87,720,,67,.369,,67.8,56,6,,,,,,,,,4.3,,.6,,,
"EGYPT",66050,172,45,1.89,27.82,71,,8.56,.612,3175,2020,33.2,9.4,73.74,35.169926,20.47999,44.349985,21.05,1.54,2716,514,1095.67,640,,93,.258,,30.4,65,2,,,13.92,,,,,,.4,,,,,
"EL SALVADOR",5752,719,45,1.6,27.22,30.3,,6.44,.604,2048,910,29.5,7.6,57.58,27.009958,,,20.8,.48,569,715,4637.36,500,,58,.48,,82.2,14,5,,,,,,,,,10,,7.1,,,
"EQUATORIAL GUINEA",454,42,42,2.57,39.33,95.7,,13.67,.465,,210,,,14.29,,,,,.33,3,785,97.56,30,,,.256,,,50,1,,,,,,,,,,,18.7,,,
"ERITREA",3842,82,17,6.35,43.96,117.2,,15.26,.275,,20,,,,,,,,,17,,3,,.9,25,,,,59,2,,,,,,,,,,,24.7,,,
"ESTONIA",1421,82,73,-.89,11.58,17.4,,14.13,.758,,3120,,5,474.63,,,,259.84,,412,998,3776.74,2420,16.71,89,.458,32,48.8,47,5,59,21,,19,73,28,30,76,,56,.5,3,69,19
"ETHIOPIA",58390,135,15,2.67,45.59,121.5,,17.56,.252,1793,40,,,2.57,,,,,.07,125,355,43.34,20,,15,,,77.4,71,2,,,6.97,,,,,,,,1.5,,,
"FIJI",803,114,41,1.28,23.12,17,,6.3,.869,,380,37.8,6,49.29,,,,,.95,65,916,170.16,450,,87,.332,,55.7,75,4,,,,,,,,,10.2,,,,,
"FINLAND",5149,44,63,.06,10.79,4.9,210,10.82,.942,3079,2690,21.7,16.6,720.61,7.5499877,,,372.38,10.41,2810,,5112.07,4730,38.89,100,.725,56,71.1,16,7,47,59,8.6,25,25,63,41,32,29.9,32,.4,20,84,25
"FRANCE",58805,279,75,.29,10.79,6,239,9.02,.946,3529,2800,26.4,12.7,530.76,4.9899901,,,431.65,6.56,32400,,5889.26,2370,,94,.489,39,59.9,28,7,38,51,,9,24,23,34,40,19.8,33,6.3,25,82,53
"GABON",1208,12,50,1.47,28.11,87.8,,13.39,.568,2428,190,54.4,12,179.58,,,,,5.02,32,632,430.2,160,,50,,,,67,3,,,,,,,,,,,23.4,,,
"GAMBIA",1292,335,29,3.48,43.86,78.8,,13.29,.291,2251,20,,,8.86,,,,5.16,.22,19,386,26.76,20,,67,.239,,56.7,69,1,,,,,,,,,,,6.8,,,
"GAZA STRIP",1054,,,6.59,49.85,26,,4.2,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GEORGIA",5109,190,58,-.72,13.93,22.4,,12.27,.633,,4360,,21,94.2,,,,,,554,995,4664.1811,,31.34,,.35,,54.1,70,3,,,,,,,,,,,,,,
"GERMANY",82079,607,87,.6,9.46,5.9,208,11.09,.925,,3190,22.9,10.8,563.18,3.2999963,36.079963,60.62,493.57,12.13,40400,,5575.09,3170,23.07,95,.694,26,72.4,3,7,74,57,4.74,11,34,34,48,36,17.2,46,1.4,15,76,23
